age,treatment,treatmentFrequency,,,,
18,Diagnosis,15.7480315,,,,
18,Therapy,16.92913386,,,,
18,Medication,9.05511811,,,,
19,Diagnosis,15.98173516,,,,
19,Therapy,18.72146119,,,,
19,Medication,9.589041096,,,,
20,Diagnosis,16.59574468,,,,
20,Therapy,16.17021277,,,,
20,Medication,7.659574468,,,,
21,Diagnosis,22.22222222,,,,
21,Therapy,20.23809524,,,,
21,Medication,11.9047619,,,,
22,Diagnosis,19.31330472,,,,
22,Therapy,13.30472103,,,,
22,Medication,6.43776824,,,,
23,Diagnosis,22.72727273,,,,
23,Therapy,17.57575758,,,,
23,Medication,11.21212121,,,,
24,Diagnosis,24.26229508,,,,
24,Therapy,20,,,,
24,Medication,10.16393443,,,,
25,Diagnosis,18.41432225,,,,
25,Therapy,15.34526854,,,,
25,Medication,8.439897698,,,,
26,Diagnosis,18.88619855,,,,
26,Therapy,15.49636804,,,,
26,Medication,8.716707022,,,,
27,Diagnosis,19.12144703,,,,
27,Therapy,16.27906977,,,,
27,Medication,10.85271318,,,,
28,Diagnosis,25.45454545,,,,
28,Therapy,19.74025974,,,,
28,Medication,12.20779221,,,,
29,Diagnosis,18.95424837,,,,
29,Therapy,17.64705882,,,,
29,Medication,10.67538126,,,,
30,Diagnosis,19.25465839,,,,
30,Therapy,18.01242236,,,,
30,Medication,10.55900621,,,,
31,Diagnosis,18.32229581,,,,
31,Therapy,16.77704194,,,,
31,Medication,8.830022075,,,,
32,Diagnosis,16.3310962,,,,
32,Therapy,13.64653244,,,,
32,Medication,6.935123043,,,,
33,Diagnosis,21.12068966,,,,
33,Therapy,20.04310345,,,,
33,Medication,8.836206897,,,,
34,Diagnosis,15.75630252,,,,
34,Therapy,16.17647059,,,,
34,Medication,9.033613445,,,,
35,Diagnosis,22.54901961,,,,
35,Therapy,19.21568627,,,,
35,Medication,12.35294118,,,,
36,Diagnosis,18.76332623,,,,
36,Therapy,15.99147122,,,,
36,Medication,11.30063966,,,,
37,Diagnosis,19.68503937,,,,
37,Therapy,15.94488189,,,,
37,Medication,9.842519685,,,,
38,Diagnosis,19.59183673,,,,
38,Therapy,18.36734694,,,,
38,Medication,12.44897959,,,,
39,Diagnosis,19.39953811,,,,
39,Therapy,14.78060046,,,,
39,Medication,10.85450346,,,,
40,Diagnosis,15.85365854,,,,
40,Therapy,10.56910569,,,,
40,Medication,7.520325203,,,,
41,Diagnosis,18.37160752,,,,
41,Therapy,13.9874739,,,,
41,Medication,10.8559499,,,,
42,Diagnosis,17.09006928,,,,
42,Therapy,14.3187067,,,,
42,Medication,10.16166282,,,,
43,Diagnosis,20.43478261,,,,
43,Therapy,14.34782609,,,,
43,Medication,12.60869565,,,,
44,Diagnosis,18.62955032,,,,
44,Therapy,15.84582441,,,,
44,Medication,11.56316916,,,,
45,Diagnosis,20.67307692,,,,
45,Therapy,17.30769231,,,,
45,Medication,13.70192308,,,,
46,Diagnosis,19.76190476,,,,
46,Therapy,13.80952381,,,,
46,Medication,11.66666667,,,,
47,Diagnosis,16.93121693,,,,
47,Therapy,10.84656085,,,,
47,Medication,8.73015873,,,,
48,Diagnosis,20.14388489,,,,
48,Therapy,11.75059952,,,,
48,Medication,14.14868106,,,,
49,Diagnosis,18.75,,,,
49,Therapy,11.75,,,,
49,Medication,13,,,,
50,Diagnosis,16.4556962,,,,
50,Therapy,12.65822785,,,,
50,Medication,10.33755274,,,,
51,Diagnosis,18.44444444,,,,
51,Therapy,9.777777778,,,,
51,Medication,10.88888889,,,,
52,Diagnosis,18.08278867,,,,
52,Therapy,12.63616558,,,,
52,Medication,11.11111111,,,,
53,Diagnosis,17.9138322,,,,
53,Therapy,9.523809524,,,,
53,Medication,11.33786848,,,,
54,Diagnosis,19.95515695,,,,
54,Therapy,10.98654709,,,,
54,Medication,12.78026906,,,,
55,Diagnosis,20.26143791,,,,
55,Therapy,10.67538126,,,,
55,Medication,13.94335512,,,,
56,Diagnosis,18.5770751,,,,
56,Therapy,11.06719368,,,,
56,Medication,12.45059289,,,,
57,Diagnosis,22.9338843,,,,
57,Therapy,7.851239669,,,,
57,Medication,15.49586777,,,,
58,Diagnosis,19.76047904,,,,
58,Therapy,9.780439122,,,,
58,Medication,14.17165669,,,,
59,Diagnosis,22.67857143,,,,
59,Therapy,12.32142857,,,,
59,Medication,14.28571429,,,,
60,Diagnosis,18.79432624,,,,
60,Therapy,7.624113475,,,,
60,Medication,13.4751773,,,,
61,Diagnosis,18.87755102,,,,
61,Therapy,8.503401361,,,,
61,Medication,12.75510204,,,,
62,Diagnosis,18.06569343,,,,
62,Therapy,7.846715328,,,,
62,Medication,11.67883212,,,,
63,Diagnosis,22.34848485,,,,
63,Therapy,10.60606061,,,,
63,Medication,14.01515152,,,,
64,Diagnosis,17.35985533,,,,
64,Therapy,8.318264014,,,,
64,Medication,14.10488246,,,,